Dartmouth-outbound,"Sun, 10 Mar",10:02-10:46,0.7,1.9,1,2019
Five-Ways-outbound,"Sun, 10 Mar",07:12-07:56,0.7,1.9,1,2019
Ashted-Circus-outbound,"Wed, 13 Mar",11:47-12:28,0.7,1.9,1,2019
Ashted-Circus-outbound,"Tue, 12 Mar",08:27-09:11,0.7,1.9,1,2019
Selly-Oak-Inbound,"Tue, 12 Mar",07:36-08:16,0.7,1.9,1,2019
Selly-Oak-Inbound,"Sun, 10 Mar",17:53-18:33,0.7,1.9,1,2019
Bordesley-Circus-inbound,"Mon, 11 Mar",16:47-17:20,0.6,2.2,1,2019
Garrison-Circus-inbound,"Sat, 09 Mar",11:55-12:41,0.8,1.6,1,2019
Garrison-outbound,"Tue, 12 Mar",05:25-06:12,0.8,1.6,1,2019
Ashted-Circus-outbound,"Thu, 07 Mar",18:47-19:37,0.8,1.6,1,2019
Curzon-outbound,"Thu, 07 Mar",19:38-20:29,0.8,1.6,1,2019
Bradford-Street----Markets-inbound,"Tue, 12 Mar",16:16-16:58,0.7,1.8,1,2019
Bradford-Street----Markets-inbound,"Mon, 11 Mar",16:08-16:50,0.7,1.8,1,2019
Ashted-Circus-inbound,"Wed, 13 Mar",15:49-16:24,0.6,2.1,1,2019
Dartmouth-outbound,"Fri, 08 Mar",13:02-13:33,0.5,2.5,1,2019
Selly-Oak-Inbound,"Sat, 09 Mar",09:05-09:55,0.8,1.5,1,2019
Curzon-Circus-inbound,"Thu, 14 Mar",06:21-06:53,0.5,2.4,1,2019
Ashted-Circus-outbound,"Wed, 13 Mar",09:01-09:38,0.6,2.0,1,2019
Holloway-Circus-inbound,"Fri, 08 Mar",16:27-17:01,0.6,2.0,1,2019
Bordesley-Circus-inbound,"Tue, 12 Mar",14:30-15:10,0.7,1.7,1,2019
Ashted-Circus-inbound,"Mon, 11 Mar",08:26-09:05,0.6,1.9,1,2019
Ashted-Circus-outbound,"Tue, 12 Mar",09:18-09:57,0.6,1.9,1,2019
Ashted-Circus-outbound,"Mon, 11 Mar",08:04-08:42,0.6,1.9,1,2019
Ashted-Circus-outbound,"Fri, 08 Mar",17:44-18:19,0.6,1.9,1,2019
Ashted-Circus-inbound,"Fri, 08 Mar",07:18-07:59,0.7,1.6,1,2019
Dartmouth-outbound,"Sun, 10 Mar",15:03-15:46,0.7,1.6,1,2019
Ashted-Circus-inbound,"Thu, 07 Mar",17:57-18:31,0.6,1.8,1,2019
Ashted-Circus-inbound,"Sat, 09 Mar",14:39-15:12,0.5,2.1,1,2019
Selly-Oak-Inbound,"Thu, 07 Mar",15:28-16:03,0.6,1.7,1,2019
Curzon-outbound,"Fri, 08 Mar",12:29-13:08,0.6,1.7,1,2019
Garrison-Circus-inbound,"Tue, 12 Mar",06:05-06:36,0.5,2.0,1,2019
Ashted-Circus-outbound,"Sat, 09 Mar",16:27-16:58,0.5,1.9,1,2019
Curzon-Circus-inbound,"Wed, 13 Mar",15:07-15:37,0.5,1.8,1,2019
Selly-Oak-Inbound,"Tue, 12 Mar",15:00-15:32,0.5,1.8,1,2019
Five-Ways-outbound,"Thu, 14 Mar",05:51-06:26,0.6,1.5,1,2019
Bristol-Road-inbound,"Sat, 09 Mar",12:20-12:59,0.6,1.5,1,2019
Moseley-outbound,"Fri, 08 Mar",16:44-17:16,0.5,1.7,1,2019
Ashted-Circus-inbound,"Sun, 10 Mar",09:22-09:52,0.5,1.6,1,2019
Moseley-outbound,"Sat, 09 Mar",20:49-21:22,0.5,1.6,1,2019
Selly-Oak-Inbound,"Thu, 07 Mar",14:26-14:58,0.5,1.5,1,2019
Selly-Oak-Inbound,"Sat, 09 Mar",20:23-20:53,0.5,1.2,1,2019
